organization,organization_url,project_summary,year_approved,status,amount,duration
Brightline Defense Project,http://brightlinedefense.org,To support Brightline Defense Project’s continued transition into a larger scale organization that will further its policy work in creating strong local economies.,2015,Closed,"$45,000",12 months
Brooklyn Arts Exchange Inc.,http://www.bax.org,"To support three interconnected initiatives that expand Dancing While Black’s engagement platforms beyond New York City’s Black experimental dance world in order to build community, develop agency, and shift existing artistic and cultural landscapes.",2015,Closed,"$82,000",21 months
Center for Popular Democracy,http://www.populardemocracy.org,To support the Center for Popular Democracy to enable the Fed Up campaign by increasing the campaign’s visibility in local and national media.,2015,Closed,"$48,000",12 months
"Common Market Philadelphia, Inc.",thecommonmarket.org,General operating support.,2015,Closed,"$450,000",36 months
Community Catalyst,http://www.communitycatalyst.org/,To support Community Catalyst’s work engaging local community advocates and the Montefiore medical systems to explore the creation of community benefit activities.,2015,Closed,"$45,000",12 months
D-Rev,http://www.d-rev.org,To support the development of a toolkit for design practice that encompasses the life cycle of the product and the refinement of project selection criteria and processes.,2015,Closed,"$75,000",18 months
Detroit Economic Growth Association,http://www.degc.org,"To support the Detroit Economic Growth Association to establish the Detroit African American Business Leadership Council and produce a development equity dashboard to build linkages, encourage collaboration, and launch new enterprises for African Americans in Detroit.",2015,Closed,"$45,000",26 months
East Bay Community Foundation,http://www.ebcf.org,To support the East Bay Community Foundation to develop a planning process for a regional initiative intended to strengthen collaboration across sectors and advance more equitable and sustainable economic development policies and outcomes.,2015,Closed,"$100,000",12 months
Economic Policy Institute,http://www.epi.org,To support the Economic Policy Institute’s 2015 Annual EARN Conference.,2015,Closed,"$10,000",12 months
"Emerald Cities Collaborative, Inc.",http://www.emeraldcities.org,General operating support.,2015,Closed,"$75,000",12 months
"Emerald Cities Collaborative, Inc.",http://www.emeraldcities.org,General operating support.,2015,Closed,"$600,000",24 months
Environmental and Energy Study Institute,http://www.eesi.org,To support communities across the U.S. move forward with more efficient and equitable energy systems by engaging with the federal government and key state and local stakeholders.,2015,Closed,"$125,000",12 months
Fair Food,http://www.fairfoodphilly.org,To expand the reach and impact of Fair Food’s Value Chain Facilitation work and developing a framework for measuring the organization’s ability to better serve the local food community.,2015,Closed,"$100,000",12 months
Fund Good Jobs,http://www.fundgoodjobs.com,General operating support.,2015,Closed,"$100,000",12 months
Gay Lesbian Bisexual Transgender Historical Society (GLBT),http://www.glbthistory.org/,"To support “Conversations with Gay Elders,” series of single-character video documentaries of varying length, focused on older gay men.  In addition to creating a repository of passing history, it will also function as a vehicle for facilitating inter-generational dialogue and understanding.",2015,Closed,"$57,000",12 months
Good Work Network,http://goodworknetwork.org,To support Good Work Network’s efforts to grow the capacity of minority and disadvantaged enterprises by connecting them to the mainstream economy and develop a business training program for performing artists and culture-bearers.,2015,Closed,"$250,000",24 months
Good Work Network,http://goodworknetwork.org,To support 1) the capacity growth of minority and disadvantaged enterprises and connect them to the mainstream economy and 2) the development of a business training program for performing artists and culture-bearers.,2015,Closed,"$80,000",24 months
Greater New Orleans Foundation,http://www.gnof.org,To support Phase Three of the Urban Water Series to implement green infrastructure and stormwater management strategies in New Orleans.,2015,Closed,"$200,000",12 months
Groundwork USA,http://www.groundworkusa.org,To develop a plan to expand community-based stormwater green infrastructure programs in select cities.,2015,Closed,"$45,000",12 months
Innovation Network for Communities,www.in4c.net ,General operating support.,2015,Closed,"$48,000",18 months
ISAIAH,http://www.isaiahmn.org,To build a powerful grassroots base and align critical constituencies to advance sustainable growth and transportation equity in Minnesota.,2015,Closed,"$375,000",36 months
Jilkaat Kwaan Heritage Center,http://jilkaatkwaanheritagecenter.org,"To support the planning, creation, and installation six original artworks for a Cultural Landscape exhibit to express the intimate relationship between the Chilkat Tlingits and their natural environment. This project will foster social change by informing and inspiring viewers and by building a greater understanding of the Chilkat Tlingit worldview that a balanced ecosystem is essential.",2015,Closed,"$107,000",24 months
Juma Ventures,http://www.Juma.org,General operating support.,2015,Closed,"$48,000",12 months
"Junebug Productions, Inc.",www.junebugproductions.org,"To support the Homecoming Project, 2015-2017, which includes three new place-based storytelling performance projects in the Ninth Ward, Treme, and Mid-city.  This project was initiated in 2011 to explore the meaning of home in post-Katrina New Orleans and to use art/culture to activate spaces to create social change.",2015,Closed,"$107,000",24 months
Khmer Arts Academy,http://www.khmerarts.org,"To support an interdisciplinary performance work that casts a history of ritual lovemaking into the dancing bodies of gay men. This project will engage community members in dialogue through public workshops, panel discussions, and live performance.",2015,Active,"$82,000",36 months
Kiva MicroFunds,http://www.kiva.org,"To support the launch of an online platform to empower American artisan entrepreneurs by enabling them to access 0%-interest capital to start or grow their creative enterprises, while developing new brand ambassadors, business advisers, and customers from their lender pool.",2015,Closed,"$255,000",24 months
Kounkuey Design Initiative,http://www.kounkuey.org/,General operating support.,2015,Closed,"$80,000",24 months
Kounkuey Design Initiative,http://www.kounkuey.org/,General operating support.,2015,Closed,"$250,000",24 months
Los Angeles Poverty Department,http://lapovertydept.org,"To support a new exhibition/archive/performing arts center curated by the Los Angeles Poverty Department, utilizing art and historical consciousness to defend a neighborhood facing repeated and immense gentrification pressures.",2015,Closed,"$107,000",24 months
"MAPP International Productions, Inc.",http://www.mappinternational.org,"To support the NYC premiere of Ralph Lemon’s critically acclaimed Scaffold Room, which will run for seven performances and will integrate a new installation and additional performance features.",2015,Closed,"$15,000",6 months
Mardi Gras Indian Hall of Fame,http://www.mardigrasindianhalloffame.org,"To support and advance programs of the Mardi Gras Indian Hall of Fame, including the perpetuation of authentic New Orleans-specific cultural expressions through youth education, funeral rituals, documentation, performances, and professional-development activities for culture-bearers.",2015,Closed,"$20,000",12 months
Maryland Institute College of Art,http://www.mica.edu,"To support the development of the plan for the Baltimore Artists Support for Economy and Equity initiative, a creative-enterprise incubator for artists and designers in Baltimore.",2015,Closed,"$41,600",8 months
Maryland Institute College of Art,http://www.mica.edu,"To support the Maryland Institute College of Art to develop and implement the Baltimore Artists Support for Economy and Equity initiative, an incubator for artists and designers in Baltimore.",2015,Closed,"$15,000",8 months
Massachusetts College of Art and Design,http://www.massart.edu,"To support Artward Bound, a multi-year, year-round college access program for underserved Boston teens that provides the artistic, academic and life skills needed for admission to and success at a visual arts college or other post-secondary institution.",2015,Closed,"$75,000",12 months
Meridian Institute,http://www.merid.org,To support AGree’s platform for change and collaborative work on local food systems.,2015,Closed,"$250,000",24 months
Metropolitan Planning Council,http://www.metroplanning.org,To support the facilitation of the Calumet Stormwater Collaborative to coordinate management tools/tactics and tackle policy and planning challenges affecting low-income communities.,2015,Closed,"$45,000",12 months
Museum of Contemporary African Diasporan Arts,http://mocada.org,"To support a cross-disciplinary exploration of mental illness’s impact on the lives of Black Americans. Curated by choreographer Marjani Forté, this research-based project includes visual and media art installations, performances, workshops, and discussions. These activities will contribute to community learning and healing and will amplify the voices of those most affected.",2015,Closed,"$67,000",12 months
National Day Laborer Organizing Network,http://ndlon.org,"To support a cutting-edge documentary that tells the real and surreal story of five immigrants in America who purposefully get themselves apprehended by Border Patrol and placed inside the shadowy system of immigration detention centers.  The film will be provocative, enlightening, and built by immigrant communities.",2015,Closed,"$107,000",24 months
National Domestic Workers Alliance,http://www.domesticworkers.org,"To support the National Domestic Workers Alliance and the Caring Across America (CAA) Campaign in executing a CAA book tour, that aims to expand the national conversation on care, and quality jobs for the care workforce.",2015,Closed,"$10,000",12 months
National Employment Law Project,http://www.nelp.org,To support the National Employment Law Project to enhance it’s capacity by training of their managers and staff and for long-term organizational planning.,2015,Closed,"$45,000",12 months
Natural Resources Defense Council,http://www.nrdc.org,To provide technical support to cities and communities to implement community-driven solutions to address climate change and inequitable development practices.,2015,Closed,"$755,000",36 months
Neighborhood Funders Group,http://www.nfg.org,"To support the Neighborhood Funders Group’s Project Phoenix initiative, which aims to create a community of practice among a diverse group of funders to share understanding, language, and vision of a just and sustainable national economy.",2015,Closed,"$27,000",12 months
Neighborhoods Organizing for Change,http://www.mnnoc.org,To support Neighborhoods Organizing for Change to build a strategic alignment of organizations led by people of color and Indigenous people working towards systemic equity and structural change.,2015,Closed,"$35,000",12 months
Neighborhoods Organizing for Change,http://www.mnnoc.org,To support the Minnesota Neighborhoods Organizing for Change in rebuilding stronger and more intentionally than before the fire that destroyed their office and community.,2015,Closed,"$25,000",12 months
New Orleans Business Alliance,http://www.nolaba.org,To support the New Orleans Business Alliance’s efforts to grow small and mid-sized minority-owned businesses and solidify a focus on equity as a pillar of New Orleans’ long-term economic growth strategy.,2015,Closed,"$100,000",12 months
New Orleans Startup Fund,http://www.powermovesnola.org/; http://www.neworleansstartupfund.org,To support the New Orleans Startup Fund to increase the number of minority-founded high-growth businesses in New Orleans and support the development of the minority business ecosystem in Detroit.,2015,Closed,"$125,000",12 months
"NewCorp, Inc.",http://www.newcorpinc.com,To support New Corp complete a feasibility study and business plan for the New Orleans Black Mardi Gras Indian producer cooperative.,2015,Closed,"$49,000",12 months
One Day on Earth Foundation,http://www.onedayonearth.org,"To support the completion of the Future of American Cities, a three part series on the topic of infrastructure, in preparation of broadcasting and expansion of the project’s reach into new metro areas.",2015,Closed,"$48,000",12 months
"People United for Sustainable Housing, Inc.",http://www.pushbuffalo.org,General operating support.,2015,Closed,"$345,000",36 months
"People United for Sustainable Housing, Inc.",http://www.pushbuffalo.org,"To support the coordination of the New York State Energy Democracy Initiative, which is aimed at organizing low-wealth communities to provide input into New York’s Renewing our Energy Vision (REV) and Clean Energy Fund Processes.",2015,Closed,"$45,000",12 months
People's Action Institute,https://peoplesaction.org/ ,To support improving job quality across large-scale employers through a Responsible Business Certification policy; to  raise public awareness and advance a community-driven process under the proposed Clean Power Plan.,2015,Closed,"$200,000",24 months
People's Action Institute,https://peoplesaction.org/ ,"To support the People’s Action Institute to improve job quality across large-scale employers through a Responsible Business Certification policy, raise public awareness, and advance a community-driven process under the proposed Clean Power Plan.",2015,Closed,"$150,000",24 months
Positive Futures Network (YES!),http://www.yesmagazine.org,To support the Positive Futures Network efforts to diversify YES! magazine’s core group of writers in order to deepen and broaden the perspectives they offer.,2015,Closed,"$100,000",12 months
Project Row Houses,http://www.projectrowhouses.org,To support the OJBK FM Radio Project to create space for residents to communicate a narrative of self-sufficiency and self-empowerment often embedded in Black communities.,2015,Closed,"$37,000",12 months
Race Forward,"www.raceforward.org, www.colorlines.com, https://facingrace.raceforward.org/ ",General operating support.,2015,Closed,"$100,000",12 months
Rising Tide Capital,http://www.RisingTideCapital.org,To support Rising Tide Capital’s advanced services program for high-growth entrepreneurs.,2015,Closed,"$100,000",12 months
River Network,http://www.rivernetwork.org,"To support green street programs in midsized cities, and leverage transportation funding to implement stormwater management strategies.",2015,Closed,"$49,000",12 months
"Roots of Music, Inc.",http://therootsofmusic.org/,"To support free, year-round, after-school music education and mentoring to students from low-income households throughout New Orleans.",2015,Closed,"$100,000",24 months
RSF Social Finance,http://www.rsfsocialfinance.org,To build the staff capacity of the RSF Social Finance PRI Program to increase its lending capability.,2015,Closed,"$100,000",24 months
Skid Row Housing Trust,http://www.skidrow.org,"To support the Department of Community Design and Planning’s programming, which includes the engagement of Skid Row residents in re-shaping, re-imagining, and establishing itself as a vibrant cultural center in downtown Los Angeles.",2015,Closed,"$175,000",30 months
Tacoma Art Museum,http://www.tacomaartmuseum.org,"To support Project 562, a multi-year national documentary project by Matika Wilbur dedicated to photographing 562 Federally Recognized Tribes in The United States. Exquisite photography and oral history narratives will update 18th-century stereotypical images of Native Americans with an authentic, renewed perspective.",2015,Closed,"$157,000",24 months
"Tectonic Theater Project, Inc.",http://www.tectonictheaterproject.org,"To support SQUARE PEG ROUND HOLE, a play about living on the autism spectrum.",2015,Closed,"$82,000",12 months
Temple Contemporary,http://templecontemporary.org,"To support the commissioning of a significant new installation project informed by extensive community engagement that responds to the complex social implications of recent Philadelphia public-school closings, with a focus on the Fairhill Elementary/Middle School and its neighborhood in North Philadelphia.",2015,Closed,"$57,000",12 months
The American Prospect,http://prospect.org/,"To support The American Prospect’s Writing Fellowship Program, which offers journalists at the beginning of their careers the opportunity to spend two full years at the magazine in Washington, D.C., developing their journalistic skills.",2015,Closed,"$125,000",12 months
The Evergreen State College Foundation,http://2700 Evergreen Parkway NW,"To support the design and development of the Indigenous Arts Campus. The process will include artists and architects, and will reflect traditional and contemporary Maori and Northwest Salish cultures.",2015,Closed,"$31,500",12 months
THE POINT Community Development Corporation,http://www.thepoint.org,To support the South Bronx Community Resiliency Agenda and strategically influence the next phases for the Hunts Point “Lifelines” project.,2015,Closed,"$225,000",24 months
"The Regents of the University of California, Berkeley",http://www.berkeley.edu,To support the Convenings on Race and Economics (CORE) hosted by the University of California Berkeley’s Haas Institute for a Fair and Inclusive Society.,2015,Closed,"$45,000",18 months
The Regents of the University of California/Center for the Art of Performance at UCLA,http://cap.ucla.edu/,"To support CODA21, a cohort of dance practitioners, neuroscientists, design media technologists, curators, archivists, and educators who are researching body and brain function pertaining to memory, creativity, and empathy will be convened. The Center for the Art of Performance will lead CODA21 in conjunction with three major performance projects for experiential and research analysis.",2015,Closed,"$150,000",12 months
Thunder Valley Community Development Corporation,http://www.ThunderValley.org,To support the implementation of the One Planet Communities Action Plan.,2015,Closed,"$25,000",6 months
TransForm,http://www.transformca.org/,"To identify and communicate economic benefits from California’s climate programs, with an emphasis on engaging disadvantaged communities, as well as support expanded regional planning to include water, energy, and related issues.",2015,Closed,"$175,000",24 months
Transform Finance,http://www.transformfinance.org,To support Transform Finance develop a implementable job quality standards that enable impact investment funds to focus on the creation of good jobs in underserved communities.,2015,Closed,"$48,000",12 months
Transportation for America,http://www.t4america.org,To continue to support Transportation for America’s efforts to build capacity at the local and state level to implement the 2012 Transportation Reauthorization Act (MAP-21) and leverage innovative financing for sustainable infrastructure investments.,2015,Active,"$700,000",24 months
United States Artists,http://unitedstatesartists.org,"To support the 2015 Chicago Artists Assembly in Chicago and a following meeting in Miami that provide artists a forum to discuss professional issues, their work, ideas, and new projects and collaborations.",2015,Closed,"$15,000",12 months
Urban Innovation21,http://www.urbaninnovation21.org,To support Urban Innovation21 to create and implement an inclusive and equitable economic development strategy by accelerating high growth businesses owned by underrepresented minorities.,2015,Closed,"$250,000",24 months
Verde,http://www.verdenw.org,To support Living Cully to concentrate infrastructure investments at the neighborhood scale to stimulate environmental benefits as well as community and individual wealth creation.,2015,Closed,"$300,000",36 months
Verde,http://www.verdenw.org,"To support Living Cully to concentrate infrastructure investments at the neighborhood scale to stimulate environmental benefits, as well as community and individual wealth creation.",2015,Active,"$100,000",24 months
Voices of Our Nations Arts Foundation,www.vonacommunity.org,To support Voices of Our Nations Arts Foundation’s workshops for writers of color and efforts to expand artist networks.,2015,Closed,"$150,000",36 months
Wesleyan University,http://www.wesleyan.edu/,"To support the Institute for Curatorial Practice in Performance’s recruitment and support of low-income people and people of color not only as participants, but also as visiting artists and guest lecturers.",2015,Closed,"$45,000",28 months
Women Make Movies,http://www.wmm.com,"To support the production of a documentary by Michèle Stephenson and Joe Brewster, which follows families affected by the Dominican Republic Supreme Court ruling that strips citizenship from individuals of Haitian descent. This project includes an engagement campaign to U.S. communities, particularly the Dominican/Hatian diaspora.",2015,Closed,"$107,000",24 months
Alliance for a Just Society,http://www.mainstreetalliance.org,To support the Main Street Alliance (MSA) in partnering with Accelerate Change to test and identify membership benefits that are valued by business owners and help MSA grow by attracting new members under a more financially sustainable business model.,2015,Closed,"$200,000",24 months
ArtPlace America,http://www.artplaceamerica.org,"To support ArtPlace America, a collaborative project working to position arts and culture as a core sector of community planning and development through a national grants program, six community-based investments, field-building, and research strategies.",2015,Closed,"$1,500,000",36 months
Asian Americans For Equality,http://www.aafe.org,To support Asian Americans for Equality (AAFE) to develop an EB-5––provides a method for eligible Immigrant Investors to become lawful permanent residents––Regional Center dedicated to addressing the employment and community economic development needs of New York’s immigrant populations served by AAFE.,2015,Closed,"$250,000",24 months
Blue Green Alliance Foundation,http://www.bgafoundation.org,"To extend and continue to provide technical support to the Jobs to Move America campaign to expand domestic transportation sector manufacturing, while ensuring, good jobs and environmental outcomes.",2015,Closed,"$200,000",24 months
Center for Arts in Education at Boston Arts Academy,http://www.bostonartsacademy.org/center,"To provide closeout support for the Center for Arts in Education’s Community Legacy Project, a set of activities to connect past Fellows of the Surdna and National Artist Teaching Fellowship with the opportunity to attend the final Anniversary Convening and to share workshops about their work with communities.",2015,Closed,"$35,000",12 months
Community Arts Stabilization Trust,http://cast-sf.org,General operating support.,2015,Closed,"$150,000",12 months
Corbin Hill Food Project,http://corbinhill-foodproject.org/ ,General operating support.,2015,Closed,"$225,000",36 months
Fourth Sector Network,www.fourthsector.net,"To support the Fourth Sector Network’s Mapping the Fourth Sector convening, which brings leaders from across the country to workshop the alternative business sector.",2015,Closed,"$20,000",12 months
Funders' Network for Smart Growth and Livable Communities,http://www.fundersnetwork.org,To support the growth of the Partners for Places Grant Program (formerly the Local Sustainability Matching Fund).,2015,Closed,"$600,000",36 months
Good Jobs First,http://www.goodjobsfirst.org,To support Good Jobs First work around the issuance of the first-ever national accounting rule on tax breaks for economic development from the Governmental Accounting Standards Board (GASB).,2015,Closed,"$45,000",12 months
Institute of Contemporary Art,http://www.icaboston.org,"To support out-of-school teen programs that support artistic growth, creativity, critical thinking and leadership skills, and overall well-being and health.",2015,Closed,"$240,000",36 months
Japanese American Cultural and Community Center,http://www.jaccc.org,"To support participation in Sustainable Little Tokyo, a community-driven initiative transforming Little Tokyo with a focus on economic, environmental, and cultural/historical sustainability.",2015,Closed,"$30,000",12 months
Los Angeles Alliance for a New Economy,http://www.laane.org,To support Los Angeles Alliance for a New Economy’s comprehensive communications strategy and implement key social media components for the Jobs to Move America campaign.,2015,Closed,"$20,000",12 months
Los Angeles Alliance for a New Economy,http://www.laane.org,To build on the Los Angeles Alliance for a New Economy’s communications strategy and to implement key social media components for the Jobs to Move America campaign.,2015,Closed,"$20,000",12 months
Make it Work,http://makeitworkcampaign.org/,"To support the Make It Work campaign in order to train and spotlight women of color and working women as the experts and spokespeople on issues related to women, work and families.",2015,Closed,"$300,000",36 months
Move NY,http://www.move-ny.org/,To build public support for the Move NY Fair Tolling and Transportation Reinvestment Plan through targeted outreach to stakeholders and a comprehensive media campaign.,2015,Closed,"$40,000",12 months
National Association for Latino Community Asset Builders,http://www.nalcab.org,"To support the National Association for Latino Community Asset Builders (NALCAB) to implement the Small Business Lending Consortium designed to increase lending to the small businesses they serve, the vast majority of which are Latino-owned.",2015,Closed,"$300,000",24 months
Neighborhood Funders Group,http://www.nfg.org,"To support a two-day convening on community-engaged design, in partnership with the Surdna Foundation. The convening participants will be comprised of grantmakers, practitioners, scholars, and Neighborhood Funders Group staff.",2015,Closed,"$48,500",6 months
Neighborhood Funders Group,http://www.nfg.org,General operating support.,2015,Closed,"$100,000",24 months
Neighborhood Funders Group,http://www.nfg.org,General operating support.,2015,Closed,"$100,000",24 months
Neighborhood Funders Group,http://www.nfg.org,General operating support.,2015,Closed,"$100,000",24 months
New York City Energy Efficiency Corporation,http://www.nyceec.com,General operating support.,2015,Closed,"$75,000",12 months
"Pacific Community Ventures, Inc.",http://pacificcommunityventures.org/,To support Pacific Community Ventures to develop the second phase of a national impact investing policy platform to strengthen the small business sector and create quality jobs in economically distressed communities.,2015,Closed,"$200,000",24 months
Partnership for Working Families,http://www.forworkingfamilies.org,To support a proactive education and action initiative to include jobs and equity standards alongside sustainability standards into discussions and actions related to Public Private Partnerships and urban infrastructure investments.,2015,Closed,"$150,000",24 months
Philadelphia Fringe Festival,http://www.artistsu.org  http://fringearts.com,"To support Artists U in creating a toolkit for community organizing and convening artists to build sustainable, mission-driven lives. Artists U will focus on the “first rungs” on the professional development ladder: planning, accountability, and community.",2015,Closed,"$100,000",36 months
PICO National Network,http://www.piconetwork.org,"To support the PICO National Network’s effort to leverage the influence of faith groups in their network with the aim of securing better wages, benefits, and increased access to good jobs for low- and moderate-wage workers.",2015,Closed,"$250,000",24 months
Public Advocates Inc.,http://www.publicadvocates.org/,To support the planning to expand the 6 Wins principles to other regions in California and into state policy.,2015,Closed,"$150,000",6 months
Queens Council on the Arts,http://www.queenscouncilarts.org,"To support the tuition-free High School to Art School program, which offers low-wealth students in New York City a visual-arts and life-skills training program.",2015,Closed,"$120,000",36 months
SAY Si (San Antonio Youth Yes!),http://www.saysi.org,"To support tuition-free, afterschool creative youth-development programs and the multiple public exhibits, film screenings, performances, and community-engagement opportunities offered to students and the general public.",2015,Closed,"$225,000",36 months
THE POINT Community Development Corporation,http://www.thepoint.org,To support collaboration with the New York City Environmental Justice Alliance to strategically influence how the City of New York allocates Community Development Block Grant Disaster Recovery funds granted by the Department of Housing and Urban Development after the Rebuild by Design process.,2015,Closed,"$40,000",6 months
The Theater Offensive,http://www.TheTheaterOffensive.org,"To support True Colors: Out Youth Theater, a program that uses a community-based theater approach to train and activate lesbian, gay, bisexual, transgender, and straight allied youth leaders who use arts as a tool for social change.",2015,Closed,"$225,000",36 months
Thunder Valley Community Development Corporation,http://www.ThunderValley.org,To support community engagement in the creation of the One Planet Communities Action Plan for a 34-acre development on Pine Ridge Indian Reservation.,2015,Closed,"$25,000",12 months
"Urbano Project, Inc.",http://urbanoproject.org,"To support Artists’ Projects and the Urbano Fellows programs as part of the afterschool programs at the Urbano Project. These efforts will include youth-led interdisciplinary public art inventions and placemaking initiatives in the local community of Egleston Square, Roxbury/Jamaica.Plain.",2015,Closed,"$150,000",36 months
Community Capital Works,http://www.myentrepreneurworks.org/,"To support Championing Revival, Empowering Artists, Transforming Economies to support artist-entrepreneurs and creative businesses as they expand their pivotal roles in revitalizing the local economy in West Philadelphia and Chester.",2014,Closed,"$50,000",24 months
Economic Community Development Institute,http://www.ecdi.org,"To support the UpTown Toledo Arts Entrepreneur Initiative, a small business development program designed for creative entrepreneurs in need of training and capital to launch or sustain arts enterprises, including craft- and food-based, fashion, entertainment, and fine-arts businesses.",2014,Closed,"$100,000",24 months
Enterprise Center,http://theenterprisecenter.com/capcorp/,"To support the Philly Food Innovation Loan Fund, an ongoing program that provides loans and technical assistance to local food entrepreneurs and includes a place-based redevelopment focus on helping to locate food businesses in revitalizing local commercial corridors.",2014,Closed,"$100,000",12 months
Four Bands Community Fund,http://www.fourbands.org,"To support the Rediscovering Native Art on Cheyenne River program. The program seeks: 1) to build the capacity of community-based organizations to serve artists and promote Native art on and off Reservation as a viable economic development strategy; 2) to establish a Reservation-wide arts and cultural tourism strategy; 3) to build the capacity of 100 artists to create and/or expand arts businesses through training and access to capital; and 4) to create a supportive environment for artists by working to establish an Artist Coop, Art and Business Incubator, and a robust e-commerce website and to expand Art in the Park events to two per year.",2014,Closed,"$100,000",24 months
New Mexico Community Development Loan Fund,http://www.loanfund.org,To support enhanced delivery of affordable credit and technical assistance to artistic and creative entrepreneurs.,2014,Closed,"$100,000",30 months
The Housing Fund,http://www.thehousingfund.org,"To support the Make A Mark Loan Program, which will directly benefit artists and non-profits that serve the creative community in Nashville and Davidson County, TN.",2014,Closed,"$100,000",24 months
The Reinvestment Fund,http://www.reinvestment.com,To support the development and piloting of a strategy for targeting arts investments in low-income communities to revitalize distressed neighborhoods.,2014,Closed,"$100,000",24 months
AS220,http://youth.as220.org,"To support the core programs at AS220 Youth and the expansion of offerings related to design, design-thinking, and entrepreneurship at all three teaching sites.",2014,Closed,"$225,000",36 months
Aspen Institute,http://www.aspeninstitute.org,"To support the Aspen Institute to disseminate the ideas contained in the “Build Ladders and Raise the Floor” paper, and conduct a roundtable dialogue about career pathways in the tech sector.",2014,Closed,"$75,000",12 months
B Lab Company,http://www.bcorporation.net,"To support the B Lab Company in accelerating Measure What Matters, a pilot project to engage a critical mass of businesses across all sectors in measuring and managing their impact.",2014,Closed,"$250,000",24 months
buildingcommunityWORKSHOP,http://bcworkshop.org,To support the Low Impact Drainage & Public Space project in the Lower Rio Grande Valley and the People Organizing Place  Dallas project.,2014,Closed,"$200,000",24 months
Center for Neighborhood Technology,http://www.cnt.org,To test and promote a community engaged framework for adopting best practices that addresses variable weather impacts (flooding and drought); expands analysis of property stormwater retrofitting; and uses the findings to shape state and federal policy.,2014,Closed,"$350,000",24 months
Center for Popular Democracy,http://www.populardemocracy.org,To support the Center for Popular Democracy’s efforts in the growing Local Progress—the national municipal policy network of local elected officials.,2014,Closed,"$315,000",36 months
Center for Story-based Strategy,http://www.storybasedstrategy.org,To support the Center for Story-based Strategy in challenging anti-worker narratives by experimenting with proactive content generation and producing curriculum resources to increase basic communications strategy across the sector.,2014,Closed,"$45,000",12 months
Center on Wisconsin Strategy,www.cows.org,"To provide mayors and their senior staff with information, examples and tools to implement equitable, resilient and practical next generation infrastructure systems.",2014,Closed,"$300,000",24 months
"Ceres, Inc.",http://www.ceres.org,To foster and strengthen the “green bonds” market to help bring financing for next generation infrastructure to scale.,2014,Closed,"$300,000",24 months
Chambers for Innovation and Clean Energy,http://www.chambersforinnovation.com,"To support Chambers for Innovation and Clean Energy, a new national network of local chambers of commerce that support next generation energy solutions.",2014,Closed,"$150,000",24 months
Chicago United Inc.,http://www.chicago-united.org,To support Chicago United in taking the Five Forward program from pilot phase to full scale and self-sufficiency and to increase procurement opportunities for local Minority Business Enterprises.,2014,Closed,"$150,000",24 months
City of New Orleans,http://www.nola.gov,To build internal capacity within the City of New Orleans to shepherd Urban Water Plan and support first Stormwater Manager position.,2014,Closed,"$150,000",24 months
Clean Energy Group,http://www.cleanegroup.org,"To support the “Resilient Power Project” to assist communities and states in making informed decisions about the deployment of resilient power by creating the necessary policies, finance tools, and forums.",2014,Closed,"$200,000",24 months
Climate Interactive,http://www.climateinteractive.org,"To apply the newly developed Green Infrastructure Decision Support Tool to help decision-makers explore the financial, social, environmental, and climate resilience costs and benefits of GI within Milwaukee and expand to application to other US cities.",2014,Closed,"$450,000",24 months
Coro New York Leadership Center,"http://www,coronewyork.org",To support the Coro New York Leadership Center’s Neighborhood Leadership program aimed developing the skills and networks of leaders who are improving New York City’s commercial corridors.,2014,Closed,"$230,000",24 months
Demos: A Network for Ideas & Actions,http://www.demos.org,To support Demos to develop and advocate for changes to economic development policy that incentivize the creation of double and triple bottom line businesses.,2014,Closed,"$200,000",28 months
Dudley Street Neighborhood Initiative,http://www.dsni.org,General operating support.,2014,Closed,"$75,000",12 months
Eastern Market Corporation,www.easternmarket.com ,To support the expansion of the Detroit Kitchen Connect program and pre-development planning for the White Box+ Accelerator program.,2014,Closed,"$175,000",12 months
Economic Policy Institute,http://www.epi.org,To support the Economic Policy Institute to provide data analysis and communications support for federal and state campaigns to increase the minimum wage and to support the Raise America’s Pay initiative.,2014,Closed,"$100,000",12 months
Eno Center for Transportation,http://www.enotrans.org,"To support advancing the availability of public-private partnerships and transportation investments that support environmental, economic and social benefits.",2014,Closed,"$150,000",24 months
Funders' Network for Smart Growth and Livable Communities,http://www.fundersnetwork.org,To support the Funders’ Network for Smart Growth and Livable Communities to develop and execute the work plan of an anchor institutions and philanthropy project.,2014,Closed,"$48,000",12 months
Grantmakers in the Arts,http://www.giarts.org,To support programming focused on racial equity and grantmaking through an equity lens at the 2014 Grantmakers in the Arts conference.,2014,Closed,"$10,000",6 months
Greater Baltimore Cultural Alliance,http://baltimoreculture.org,To support emerging artists and professional arts administrators of color in Artists U/Baltimore and the Urban Arts Leadership Program.,2014,Closed,"$50,000",12 months
Greenlining Institute,http://www.greenlining.org,To support the Greenlining Institute in advancing supplier diversity and increasing contracting opportunities among minority businesses in California.,2014,Closed,"$300,000",24 months
Institute for Local Self-Reliance,http://www.ilsr.org,"To support the Institute for Local Self-Reliance to produce policy research and popular education materials for key stakeholders, mobilize business groups to advance policy change, and support a national convening of 25 stakeholders, policy analysts, and organizers to craft a shared policy agenda.",2014,Closed,"$45,000",12 months
